date,consensus,yahoo
20110224,19.06,16.5
20110303,19.13,17.08
20110310,19.13,17.42
20110317,19.06,16.03
20110324,19.14,16.96
20110331,19.15,16.84
20110407,19.15,16.77
20110414,19.15,16.62
20110421,19.52,16.85
20110428,19.55,17.7
20110505,19.5,18.65
20110512,19.59,16.55
20110519,19.59,16.3
20110526,19.59,16.02
20110602,19.73,15.68
20110609,19.73,15.2
20110616,19.73,14.7
20110623,19.73,14.88
20110630,19.57,15.45
20110707,19.57,15.61
20110714,19.45,14.69
20110721,17.87,13.98
20110728,17.83,13.1
20110804,17.59,11.74
20110811,17.7,13.59
20110818,17.75,12.92
20110825,17.64,12.74
20110901,17.57,12.87
20110908,17.42,14.48
20110915,17.42,14.97
20110922,17.37,14.71
20110929,17.47,13.17
20111006,17.47,15.47
20111013,17.45,15.91
20111020,18.36,16.12
20111027,18.36,16.56
20111103,18.3,15.24
20111110,18.3,16.27
20111117,18.3,15.38
20111124,18.3,15.1
20111201,18.3,16.05
20111208,18.24,15.94
20111215,18.06,14.96
20111222,18.06,16.19
20111229,18.06,16.13
20120105,17.9,15.52
20120112,17.98,15.48
20120119,17.94,15.96
20120126,17.8,15.74
20120202,17.8,15.92
20120209,17.8,16.14
20120216,17.8,15.01
20120223,17.59,14.89
20120301,17.59,14.72
20120308,17.42,14.63
20120315,17.57,15.18
20120322,17.38,15.38
20120329,17.36,15.22
20120405,17.44,15.06
20120412,17.46,14.87
20120419,17.49,15.6
20120426,17.49,15.57
20120503,17.43,15.15
20120510,17.43,15.19
20120517,17.43,15.42
20120524,17.91,15.36
20120531,18.03,14.92
20120607,18.12,15.65
20120614,18.12,15.36
20120621,18.12,15.61
20120628,18.12,15.83
20120705,18.17,15.78
20120712,18.19,15.74
20120719,18.07,15.91
20120726,18.07,16.11
20120802,18.15,15.97
20120809,18.2,15.15
20120816,17.95,15.03
20120823,17.95,14.92
20120830,17.95,14.65
20120906,17.91,15.22
20120913,17.91,15.77
20120920,18.16,15.73
20120927,18.38,15.97
20121004,18.44,16.09
20121011,18.48,15.88
20121018,18.36,15.84
20121025,18.81,16.79
20121101,18.78,17.11
20121108,18.78,17.26
20121115,18.81,17.86
20121122,18.94,18.57
20121129,19.09,18.77
20121206,19.09,19.2
20121213,19.2,19.64
20121220,19.27,19.35
20121227,19.52,19.5
20130103,19.69,19.86
20130110,19.87,19.29
20130117,19.87,20.02
20130124,20.52,20.37
20130131,21.58,19.76
20130207,21.77,20.5
20130214,21.85,21.02
20130221,21.85,21.22
20130228,22.08,21.94
20130307,22.54,22.9
20130314,22.64,22.07
20130321,22.96,23.26
20130328,22.96,23.53
20130404,23.11,23.3
20130411,23.54,24.69
20130418,25.22,23.47
20130425,25.4,24.68
20130502,25.4,25.07
20130509,26.2,26.83
20130516,26.6,26.52
20130523,27.53,26.33
20130530,27.69,26.3
20130606,27.69,27.04
20130613,27.69,26.28
20130620,27.69,25.19
20130627,27.73,25.13
20130704,27.73,25.68
20130711,28,27.23
20130718,29.46,29.11
20130725,29.42,28.11
20130801,29.42,27.65
20130808,29.42,27.68
20130815,29.7,27.32
20130822,29.77,27.99
20130829,29.77,27.12
20130905,29.76,28.17
20130912,29.76,29.26
20130919,29.88,30.93
20130926,30.16,33.55
20131003,31.08,34.89
20131010,31.88,34.15
20131017,35.35,33.43
20131024,35.35,32.25
20131031,35.35,33.18
20131107,35.35,33.12
20131114,35.88,35.47
20131121,36.35,36.49
20131128,36.35,36.98
20131205,36.35,38.86
20131212,36.91,39.73
20131219,37.46,40.12
20131226,37.46,40.49
20140102,38.31,40.12
20140109,39.33,41.23
20140116,41.59,40.01
20140123,41.65,37.91
20140130,41.47,36.01
20140206,41.47,37.23
20140213,41.6,38.23
20140220,41.6,37.29
20140227,41.6,38.67
20140306,41.6,38.7
20140313,41.45,37.6
20140320,41.2,37.94
20140327,41.57,35.9
20140403,41.57,34.26
20140410,41.5,32.87
20140417,42.93,36.38
20140424,42.93,34.48
20140501,42.86,36.87
20140508,42.86,33.76
20140515,42.64,33.41
20140522,42.57,35.02
20140529,42.57,34.65
20140605,42.54,35.92
20140612,42.3,36.94
20140619,41.78,34.05
20140626,41,34.25
20140703,41.19,36.14
20140710,41.04,35.43
20140717,39.64,33.33
20140724,39.64,36.12
20140731,39.64,35.62
20140807,39.64,35.91
20140814,39.71,36.47
20140821,39.71,38.01
20140828,39.76,38.51
20140904,39.76,39.59
20140911,39.76,42.88
20140918,40.52,40.93
20140925,41.3,40.66
20141002,41.48,41.03
20141009,41.8,39.6
20141016,43.97,38.45
20141023,46.17,43.5
20141030,47.73,46.05
20141106,48.52,48.55
20141113,50.74,51.75
20141120,51.42,51.04
20141127,51.5,51.74
20141204,51.72,50.99
20141211,51.72,50.24
20141218,51.94,50.88
20141225,52.03,50.86
20150101,52.03,50.17
20150108,52.39,49.72
20150115,53,46.47
20150122,53.54,48.95
